n,tipo,alvo,cmp_seq,cmp_bin,cmp_arv,altura
100,Ordenado,2,2,13,2,100
100,Ordenado,50,50,1,50,100
100,Ordenado,99,99,11,99,100
100,Ordenado,1099,100,14,101,100
100,Embaralhado,2,5,13,4,14
100,Embaralhado,50,83,1,12,14
100,Embaralhado,99,34,11,6,14
100,Embaralhado,1099,100,14,6,14
1000,Ordenado,11,11,15,11,1000
1000,Ordenado,500,500,1,500,1000
1000,Ordenado,990,990,19,990,1000
1000,Ordenado,1999,1000,20,1001,1000
1000,Embaralhado,11,328,15,11,28
1000,Embaralhado,500,854,1,15,28
1000,Embaralhado,990,29,19,6,28
1000,Embaralhado,1999,1000,20,9,28
10000,Ordenado,101,101,27,101,10000
10000,Ordenado,5000,5000,1,5000,10000
10000,Ordenado,9900,9900,25,9900,10000
10000,Ordenado,10999,10000,28,10001,10000
10000,Embaralhado,101,3360,27,14,32
10000,Embaralhado,5000,2288,1,16,32
10000,Embaralhado,9900,2010,25,11,32
10000,Embaralhado,10999,10000,28,14,32
